Jurisdiction,LGA,Year,Total Early Payment,Total Financial Assistance Grant (inc Early Payment),,,
Tasmania,Central Highlands Council,2019-20,"$1,251,151","$2,469,098",,,
Tasmania,Central Highlands Council,2020-21,"$1,288,510","$2,485,782",,,
Tasmania,Central Highlands Council,2021-22,"$1,282,515","$2,608,429",,,
Tasmania,Central Highlands Council,2022-23,"$2,044,477","$2,871,392",,,
Tasmania,Central Highlands Council,2023-24,"$3,031,386","$3,291,586",,,
Tasmania,Circular Head Council,2017-18,"$1,577,736","$3,148,402",,,
Tasmania,Circular Head Council,2018-19,"$1,627,615","$3,239,826",,,
Tasmania,Circular Head Council,2019-20,"$1,662,471","$3,292,873",,,
Tasmania,Circular Head Council,2020-21,"$1,725,230","$3,287,566",,,
Tasmania,Circular Head Council,2021-22,"$1,673,762","$3,504,195",,,
Tasmania,Circular Head Council,2022-23,"$2,822,429","$3,858,994",,,
Tasmania,Circular Head Council,2023-24,"$3,939,779","$4,056,471",,,
Tasmania,Clarence City Council,2017-18,"$1,299,773","$2,644,002",,,
Tasmania,Clarence City Council,2018-19,"$1,366,483","$2,758,589",,,
Tasmania,Clarence City Council,2019-20,"$1,434,701","$2,861,713",,,
Tasmania,Clarence City Council,2020-21,"$1,509,344","$2,935,063",,,
Tasmania,Clarence City Council,2021-22,"$1,527,067","$3,127,643",,,
Tasmania,Clarence City Council,2022-23,"$2,467,931","$3,519,042",,,
Tasmania,Clarence City Council,2023-24,"$3,768,628","$3,893,035",,,
Tasmania,Derwent Valley Council,2017-18,"$1,057,413","$2,224,662",,,
Tasmania,Derwent Valley Council,2018-19,"$1,148,165","$2,320,381",,,
Tasmania,Derwent Valley Council,2019-20,"$1,204,540","$2,391,245",,,
Tasmania,Derwent Valley Council,2020-21,"$1,252,851","$2,328,242",,,
Tasmania,Derwent Valley Council,2021-22,"$1,150,468","$2,366,617",,,
Tasmania,Derwent Valley Council,2022-23,"$1,874,837","$2,598,084",,,
Tasmania,Derwent Valley Council,2023-24,"$2,728,752","$3,021,150",,,
Tasmania,Devonport City Council,2017-18,"$1,020,069","$2,079,538",,,
Tasmania,Devonport City Council,2018-19,"$1,074,870","$2,268,002",,,
Tasmania,Devonport City Council,2019-20,"$1,228,658","$2,259,025",,,
Tasmania,Devonport City Council,2020-21,"$1,089,101","$2,383,722",,,
Tasmania,Devonport City Council,2021-22,"$1,385,917","$2,659,810",,,
Tasmania,Devonport City Council,2022-23,"$1,963,963","$2,881,034",,,
Tasmania,Devonport City Council,2023-24,"$3,104,810","$3,171,812",,,
Tasmania,Dorset Council,2017-18,"$1,779,420","$3,387,410",,,
Tasmania,Dorset Council,2018-19,"$1,750,045","$3,416,798",,,
Tasmania,Dorset Council,2019-20,"$1,717,085","$3,444,312",,,
Tasmania,Dorset Council,2020-21,"$1,826,313","$3,418,404",,,
Tasmania,Dorset Council,2021-22,"$1,705,147","$3,548,410",,,
Tasmania,Dorset Council,2022-23,"$2,842,065","$3,907,738",,,
Tasmania,Dorset Council,2023-24,"$4,028,529","$4,402,293",,,
Tasmania,Flinders Council,2017-18,"$667,861","$1,318,457",,,
Tasmania,Flinders Council,2018-19,"$681,199","$1,379,018",,,
Tasmania,Flinders Council,2019-20,"$718,552","$1,436,194",,,
Tasmania,Flinders Council,2020-21,"$758,584","$1,473,846",,,
Tasmania,Flinders Council,2021-22,"$765,790","$1,556,835",,,
Tasmania,Flinders Council,2022-23,"$1,219,642","$1,758,319",,,
Tasmania,Flinders Council,2023-24,"$1,849,432","$1,917,207",,,
Tasmania,George Town Council,2017-18,"$913,846","$1,767,858",,,
Tasmania,George Town Council,2018-19,"$912,737","$1,850,280",,,
Tasmania,George Town Council,2019-20,"$964,042","$1,879,973",,,
Tasmania,George Town Council,2020-21,"$967,171","$2,016,613",,,
Tasmania,George Town Council,2021-22,"$1,123,170","$2,161,640",,,
Tasmania,George Town Council,2022-23,"$1,600,898","$2,424,922",,,
Tasmania,George Town Council,2023-24,"$2,503,302","$2,558,891",,,
Tasmania,Glamorgan Spring Bay Council,2017-18,"$628,921","$1,232,043",,,
Tasmania,Glamorgan Spring Bay Council,2018-19,"$637,397","$1,265,927",,,
Tasmania,Glamorgan Spring Bay Council,2019-20,"$650,176","$1,276,957",,,
Tasmania,Glamorgan Spring Bay Council,2020-21,"$664,290","$1,270,623",,,
Tasmania,Glamorgan Spring Bay Council,2021-22,"$650,392","$1,305,967",,,
Tasmania,Glamorgan Spring Bay Council,2022-23,"$1,011,097","$1,398,009",,,
Tasmania,Glamorgan Spring Bay Council,2023-24,"$1,524,791","$1,590,250",,,
Tasmania,Glenorchy City Council,2017-18,"$1,171,674","$2,330,769",,,
Tasmania,Glenorchy City Council,2018-19,"$1,204,803","$2,398,982",,,
Tasmania,Glenorchy City Council,2019-20,"$1,230,845","$2,438,685",,,
Tasmania,Glenorchy City Council,2020-21,"$1,277,639","$2,475,979",,,
Tasmania,Glenorchy City Council,2021-22,"$1,283,556","$2,603,230",,,
Tasmania,Glenorchy City Council,2022-23,"$2,034,832","$2,931,693",,,
Tasmania,Glenorchy City Council,2023-24,"$3,079,055","$3,209,928",,,
Tasmania,Hobart City Council,2017-18,"$1,318,408","$2,673,805",,,
Tasmania,Hobart City Council,2018-19,"$1,382,285","$2,772,753",,,
Tasmania,Hobart City Council,2019-20,"$1,433,506","$2,768,014",,,
Tasmania,Hobart City Council,2020-21,"$1,411,492","$2,793,099",,,
Tasmania,Hobart City Council,2021-22,"$1,479,871","$2,906,971",,,
Tasmania,Hobart City Council,2022-23,"$2,200,410","$3,213,572",,,
Tasmania,Hobart City Council,2023-24,"$3,351,041","$3,499,148",,,
Tasmania,Huon Valley Council,2017-18,"$1,769,174","$3,593,096",,,
Tasmania,Huon Valley Council,2018-19,"$1,855,004","$3,656,121",,,
Tasmania,Huon Valley Council,2019-20,"$1,852,499","$3,673,134",,,
Tasmania,Huon Valley Council,2020-21,"$1,923,193","$3,663,566",,,
Tasmania,Huon Valley Council,2021-22,"$1,862,924","$3,793,575",,,
Tasmania,Huon Valley Council,2022-23,"$2,976,478","$4,296,033",,,
Tasmania,Huon Valley Council,2023-24,"$4,447,722","$4,586,675",,,
Tasmania,Kentish Council,2017-18,"$1,326,044","$2,680,710",,,
Tasmania,Kentish Council,2018-19,"$1,383,859","$2,693,607",,,
Tasmania,Kentish Council,2019-20,"$1,346,315","$2,759,801",,,
Tasmania,Kentish Council,2020-21,"$1,493,214","$2,719,778",,,
Tasmania,Kentish Council,2021-22,"$1,312,671","$2,795,200",,,
Tasmania,Kentish Council,2022-23,"$2,285,640","$3,100,435",,,
Tasmania,Kentish Council,2023-24,"$3,234,580","$3,554,378",,,
Tasmania,King Island Council,2017-18,"$865,282","$1,739,994",,,
Tasmania,King Island Council,2018-19,"$899,143","$1,850,159",,,
Tasmania,King Island Council,2019-20,"$979,492","$1,932,505",,,
Tasmania,King Island Council,2020-21,"$1,007,710","$1,928,105",,,
Tasmania,King Island Council,2021-22,"$985,628","$2,059,401",,,
Tasmania,King Island Council,2022-23,"$1,655,665","$2,152,321",,,
Tasmania,King Island Council,2023-24,"$2,213,554","$2,455,797",,,
Tasmania,Kingborough Council,2017-18,"$1,049,449","$2,144,636",,,
Tasmania,Kingborough Council,2018-19,"$1,109,132","$2,231,624",,,
Tasmania,Kingborough Council,2019-20,"$1,158,229","$2,321,696",,,
Tasmania,Kingborough Council,2020-21,"$1,231,529","$2,363,287",,,
Tasmania,Kingborough Council,2021-22,"$1,212,668","$2,506,196",,,
Tasmania,Kingborough Council,2022-23,"$1,994,661","$2,788,176",,,
Tasmania,Kingborough Council,2023-24,"$2,979,277","$3,092,500",,,
Tasmania,Latrobe Council,2017-18,"$745,413","$1,529,267",,,
Tasmania,Latrobe Council,2018-19,"$789,796","$1,609,772",,,
Tasmania,Latrobe Council,2019-20,"$843,551","$1,673,157",,,
Tasmania,Latrobe Council,2020-21,"$876,510","$1,725,057",,,
Tasmania,Latrobe Council,2021-22,"$908,178","$1,902,431",,,
Tasmania,Latrobe Council,2022-23,"$1,532,791","$2,080,110",,,
Tasmania,Latrobe Council,2023-24,"$2,350,139","$2,394,335",,,
Tasmania,Launceston City Council,2017-18,"$2,104,191","$4,203,880",,,
Tasmania,Launceston City Council,2018-19,"$2,174,419","$4,364,839",,,
Tasmania,Launceston City Council,2019-20,"$2,261,180","$4,372,197",,,
Tasmania,Launceston City Council,2020-21,"$2,234,644","$4,430,427",,,
Tasmania,Launceston City Council,2021-22,"$2,353,162","$4,613,040",,,
Tasmania,Launceston City Council,2022-23,"$3,484,771","$5,066,079",,,
Tasmania,Launceston City Council,2023-24,"$5,282,866","$5,498,861",,,
Tasmania,Meander Valley Council,2017-18,"$2,115,668","$4,192,447",,,
Tasmania,Meander Valley Council,2018-19,"$2,165,458","$4,284,064",,,
Tasmania,Meander Valley Council,2019-20,"$2,180,889","$4,279,087",,,
Tasmania,Meander Valley Council,2020-21,"$2,217,893","$4,252,200",,,
Tasmania,Meander Valley Council,2021-22,"$2,178,177","$4,476,912",,,
Tasmania,Meander Valley Council,2022-23,"$3,544,161","$5,059,124",,,
Tasmania,Meander Valley Council,2023-24,"$5,426,415","$5,556,194",,,
Tasmania,Northern Midlands Council,2017-18,"$1,723,490","$3,344,076",,,
Tasmania,Northern Midlands Council,2018-19,"$1,728,905","$3,486,707",,,
Tasmania,Northern Midlands Council,2019-20,"$1,814,394","$3,568,385",,,
Tasmania,Northern Midlands Council,2020-21,"$1,856,915","$3,589,853",,,
Tasmania,Northern Midlands Council,2021-22,"$1,857,132","$3,787,978",,,
Tasmania,Northern Midlands Council,2022-23,"$2,977,471","$4,210,033",,,
Tasmania,Northern Midlands Council,2023-24,"$4,477,576","$4,616,396",,,
Tasmania,Sorell Council,2017-18,"$1,076,526","$2,075,473",,,
Tasmania,Sorell Council,2018-19,"$1,070,667","$2,138,054",,,
Tasmania,Sorell Council,2019-20,"$1,097,529","$2,286,908",,,
Tasmania,Sorell Council,2020-21,"$1,256,629","$2,308,942",,,
Tasmania,Sorell Council,2021-22,"$1,125,923","$2,394,039",,,
Tasmania,Sorell Council,2022-23,"$1,955,083","$2,662,263",,,
Tasmania,Sorell Council,2023-24,"$2,782,986","$3,051,771",,,
Tasmania,Southern Midlands Council,2017-18,"$1,644,434","$3,284,771",,,
Tasmania,Southern Midlands Council,2018-19,"$1,696,341","$3,399,444",,,
Tasmania,Southern Midlands Council,2019-20,"$1,752,439","$3,494,281",,,
Tasmania,Southern Midlands Council,2020-21,"$1,840,420","$3,529,436",,,
Tasmania,Southern Midlands Council,2021-22,"$1,808,005","$3,657,903",,,
Tasmania,Southern Midlands Council,2022-23,"$2,852,072","$4,069,130",,,
Tasmania,Southern Midlands Council,2023-24,"$4,206,436","$4,618,589",,,
Tasmania,Tasman Council,2017-18,"$474,946","$954,756",,,
Tasmania,Tasman Council,2018-19,"$493,214","$971,088",,,
Tasmania,Tasman Council,2019-20,"$492,154","$1,023,876",,,
Tasmania,Tasman Council,2020-21,"$562,235","$1,038,762",,,
Tasmania,Tasman Council,2021-22,"$510,237","$1,122,435",,,
Tasmania,Tasman Council,2022-23,"$943,894","$1,246,084",,,
Tasmania,Tasman Council,2023-24,"$1,363,230","$1,396,379",,,
Tasmania,Waratah-Wynyard Council,2017-18,"$1,425,764","$2,879,932",,,
Tasmania,Waratah-Wynyard Council,2018-19,"$1,487,140","$2,990,989",,,
Tasmania,Waratah-Wynyard Council,2019-20,"$1,546,955","$3,162,413",,,
Tasmania,Waratah-Wynyard Council,2020-21,"$1,706,491","$3,230,940",,,
Tasmania,Waratah-Wynyard Council,2021-22,"$1,631,609","$3,356,039",,,
Tasmania,Waratah-Wynyard Council,2022-23,"$2,658,560","$3,743,136",,,
Tasmania,Waratah-Wynyard Council,2023-24,"$3,907,837","$4,276,087",,,
Tasmania,West Coast Council,2017-18,"$961,071","$1,920,760",,,
Tasmania,West Coast Council,2018-19,"$990,744","$2,089,505",,,
Tasmania,West Coast Council,2019-20,"$1,128,696","$2,123,618",,,
Tasmania,West Coast Council,2020-21,"$1,049,571","$2,160,676",,,
Tasmania,West Coast Council,2021-22,"$1,188,774","$2,254,029",,,
Tasmania,West Coast Council,2022-23,"$1,642,049","$2,554,064",,,
Tasmania,West Coast Council,2023-24,"$2,612,857","$2,885,982",,,
Tasmania,West Tamar Council,2017-18,"$1,572,128","$3,176,411",,,
Tasmania,West Tamar Council,2018-19,"$1,639,247","$3,334,918",,,
Tasmania,West Tamar Council,2019-20,"$1,741,900","$3,416,807",,,
Tasmania,West Tamar Council,2020-21,"$1,768,283","$3,515,200",,,
Tasmania,West Tamar Council,2021-22,"$1,868,822","$3,728,210",,,
Tasmania,West Tamar Council,2022-23,"$2,866,398","$4,266,975",,,
Tasmania,West Tamar Council,2023-24,"$4,469,316","$4,551,802",,,
Victoria,Alpine Shire,2017-18,"$1,756,848","$3,614,190",,,
Victoria,Alpine Shire,2018-19,"$1,872,185","$3,724,376",,,
Victoria,Alpine Shire,2019-20,"$1,940,043","$3,914,857",,,
Victoria,Alpine Shire,2020-21,"$2,116,240","$3,933,984",,,
Victoria,Alpine Shire,2021-22,"$1,958,914","$4,125,722",,,
Victoria,Alpine Shire,2022-23,"$3,329,552","$4,339,016",,,
Victoria,Alpine Shire,2023-24,"$4,673,187","$4,880,411",,,
Victoria,Ararat Rural City Council,2017-18,"$2,888,238","$5,559,633",,,
Victoria,Ararat Rural City Council,2018-19,"$2,879,447","$5,865,444",,,
Victoria,Ararat Rural City Council,2019-20,"$3,124,273","$6,074,691",,,
Victoria,Ararat Rural City Council,2020-21,"$3,157,693","$6,197,184",,,
Victoria,Ararat Rural City Council,2021-22,"$3,274,054","$6,500,171",,,
Victoria,Ararat Rural City Council,2022-23,"$4,960,203","$6,853,782",,,
Victoria,Ararat Rural City Council,2023-24,"$7,425,542","$7,753,480",,,
Victoria,Ballarat City Council,2017-18,"$6,409,093","$13,003,913",,,
Victoria,Ballarat City Council,2018-19,"$6,735,139","$13,040,558",,,
Victoria,Ballarat City Council,2019-20,"$6,613,653","$13,447,723",,,
Victoria,Ballarat City Council,2020-21,"$7,333,007","$13,559,639",,,
Victoria,Ballarat City Council,2021-22,"$6,714,046","$14,679,933",,,
Victoria,Ballarat City Council,2022-23,"$12,233,585","$16,018,933",,,
Victoria,Ballarat City Council,2023-24,"$17,342,366","$18,106,898",,,
Victoria,Banyule City Council,2017-18,"$2,155,046","$3,934,309",,,
Victoria,Banyule City Council,2018-19,"$2,030,515","$3,725,193",,,
Victoria,Banyule City Council,2019-20,"$1,775,444","$3,688,014",,,
Victoria,Banyule City Council,2020-21,"$2,050,232","$3,725,511",,,
Victoria,Banyule City Council,2021-22,"$1,805,562","$3,891,051",,,
Victoria,Banyule City Council,2022-23,"$3,204,291","$4,077,751",,,
Victoria,Banyule City Council,2023-24,"$4,337,932","$4,531,320",,,
Victoria,Bass Coast Shire Council,2017-18,"$2,902,970","$6,122,459",,,
Victoria,Bass Coast Shire Council,2018-19,"$3,174,088","$6,040,708",,,
Victoria,Bass Coast Shire Council,2019-20,"$3,004,579","$6,326,400",,,
Victoria,Bass Coast Shire Council,2020-21,"$3,562,284","$6,501,147",,,
Victoria,Bass Coast Shire Council,2021-22,"$3,168,082","$6,982,231",,,
Victoria,Bass Coast Shire Council,2022-23,"$5,859,213","$7,536,199",,,
Victoria,Bass Coast Shire Council,2023-24,"$8,448,070","$8,808,578",,,
Victoria,Baw Baw Shire Council,2017-18,"$4,475,463","$9,111,009",,,
Victoria,Baw Baw Shire Council,2018-19,"$4,719,216","$9,079,107",,,
Victoria,Baw Baw Shire Council,2019-20,"$4,565,971","$9,420,443",,,
Victoria,Baw Baw Shire Council,2020-21,"$5,200,804","$9,574,293",,,
Victoria,Baw Baw Shire Council,2021-22,"$4,712,959","$10,272,455",,,
Victoria,Baw Baw Shire Council,2022-23,"$8,543,621","$11,067,605",,,
Victoria,Baw Baw Shire Council,2023-24,"$12,071,832","$12,600,934",,,
Victoria,Bayside City Council,2017-18,"$1,330,717","$2,708,094",,,
Victoria,Bayside City Council,2018-19,"$1,402,408","$2,725,745",,,
Victoria,Bayside City Council,2019-20,"$1,387,553","$2,791,809",,,
Victoria,Bayside City Council,2020-21,"$1,506,200","$2,762,398",,,
Victoria,Bayside City Council,2021-22,"$1,354,614","$2,892,528",,,
Victoria,Bayside City Council,2022-23,"$2,362,375","$3,027,691",,,
Victoria,Bayside City Council,2023-24,"$3,174,773","$3,318,013",,,
Victoria,Benalla Rural City Council,2017-18,"$2,011,718","$4,020,794",,,
Victoria,Benalla Rural City Council,2018-19,"$2,082,789","$4,201,330",,,
Victoria,Benalla Rural City Council,2019-20,"$2,217,476","$4,274,000",,,
Victoria,Benalla Rural City Council,2020-21,"$2,201,493","$4,305,235",,,
Victoria,Benalla Rural City Council,2021-22,"$2,266,451","$4,522,929",,,
